(0.936193,-0.349745)
(0.945165,-0.270884)
(0.955297,-0.196052)
(0.967688,-0.118291)
(0.981788,-0.0409561)
(0.997047,0.0324719)
(1.01456,0.108586)
(1.03483,0.189033)
(1.05583,0.263926)
(1.07835,0.337415)
(1.10319,0.413346)
(1.13029,0.490375)
(1.15684,0.558859)
(1.18663,0.630822)
(1.2072,0.678065)
(1.20818,0.67129)
(1.20824,0.657862)
(1.20818,0.644678)
(1.20818,0.631372)
(1.20824,0.618065)
(1.20818,0.604637)
(1.20818,0.591148)
(1.20818,0.577598)
(1.20818,0.563986)
(1.20824,0.550192)
(1.20818,0.536458)
(1.20818,0.522603)
(1.20824,0.508686)
(1.20818,0.494709)
(1.20818,0.480731)
(1.20818,0.466631)
(1.20824,0.452532)
(1.20818,0.43831)
(1.20818,0.424088)
(1.20818,0.409867)
(1.20824,0.395523)
(1.20818,0.381179)
(1.20818,0.366713)
(1.20818,0.352308)
(1.20824,0.337842)
(1.20818,0.323315)
(1.20818,0.308728)
(1.20824,0.294201)
(1.20818,0.279552)
(1.20818,0.264842)
(1.20818,0.250193)
(1.20824,0.235544)
(1.20818,0.220711)
(1.20818,0.206001)
(1.20818,0.19123)
(1.20824,0.176398)
(1.20818,0.161566)
(1.20818,0.146795)
(1.20818,0.131902)
(1.20818,0.117009)
(1.20824,0.102116)
(1.20818,0.0872836)
(1.20818,0.0723904)
(1.20824,0.0573752)
(1.20818,0.0426652)
(1.20818,0.0272837)
(1.2083,0.0133062)
(1.20799,-0.00335706)
(1.20854,0.00561545)
(1.20757,0.0546896)
(1.2097,0.103214)
(1.19047,0.155401)
(1.13603,0.209053)
(1.08201,0.262339)
(1.02494,0.321912)
(0.971655,0.379958)
(0.919102,0.439958)
(0.867159,0.502033)
(0.817902,0.563803)
(0.768584,0.628625)
(0.719327,0.696499)
(0.671412,0.765837)
(0.628442,0.83133)
(0.585471,0.900181)
(0.546591,0.96604)
(0.508808,1.03379)
(0.472979,1.10136)
(0.43715,1.1721)
(0.404862,1.20842)
(0.372145,1.20769)
(0.358534,1.20854)
(0.373183,1.20805)
(0.387161,1.20824)
(0.401871,1.20818)
(0.416153,1.20824)
(0.430497,1.20818)
(0.44478,1.20818)
(0.459002,1.20818)
(0.473224,1.20824)
(0.487323,1.20818)
(0.501423,1.20818)
(0.515339,1.20818)
(0.529378,1.20818)
(0.543233,1.20824)
(0.557089,1.20818)
(0.570761,1.20818)
(0.584556,1.20818)
(0.598167,1.20824)
(0.611656,1.20818)
(0.625207,1.20818)
(0.638574,1.20818)
(0.651941,1.20824)
(0.665247,1.20818)
(0.67837,1.20824)
(0.691494,1.20811)
(0.704556,1.20842)
(0.717434,1.20616)
(0.730374,1.19847)
(0.74307,1.1906)
(0.755827,1.18248)
(0.768401,1.17436)
(0.780913,1.166)
(0.793365,1.15751)
(0.805695,1.14891)
(0.817902,1.14024)
(0.83011,1.13133)
(0.842134,1.12236)
(0.854036,1.11326)
(0.865939,1.10398)
(0.877719,1.09458)
(0.889316,1.08519)
(0.900913,1.07548)
(0.912327,1.06578)
(0.923741,1.05589)
(0.93485,1.04594)
(0.946203,1.03581)
(0.956823,1.02561)
(0.968421,1.01524)
(0.978125,1.0048)
(0.990089,0.994239)
(0.956762,0.984046)
(0.876071,0.975684)
(0.800079,0.969092)
(0.722256,0.964331)
(0.64596,0.961157)
(0.573447,0.95957)
(0.495502,0.960058)
(0.42183,0.961951)
(0.348158,0.965552)
(0.274302,0.970923)
(0.198494,0.978186)
(0.126653,0.986671)
(0.0523701,0.997291)
(-0.0246591,1.00999)
(-0.100773,1.02439)
(-0.176032,1.04044)
(-0.251535,1.05827)
(-0.328321,1.07829)
(-0.404923,1.10008)
(-0.477435,1.12278)
(-0.551596,1.14769)
(-0.623925,1.17406)
(-0.693264,1.20079)
